Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-02-06,22.55385398864746,45.16984939575195,22.6201611196488,45.3328231258702,22.444449119514072,44.905023560155776,22.490862846535798,45.10194626520774,14586400,4917700
2012-02-07,22.72624969482422,45.33282470703125,23.024622927570515,45.48221470784515,22.421241955029213,44.91181699388997,22.573744560247523,45.00009054860866,24269600,5597800
2012-02-08,22.65331268310547,45.31925582885742,22.8257061593807,45.441483580440284,22.610212417017905,45.13591679182246,22.82239017059896,45.373580425267285,16428400,6021900
2012-02-09,22.533958435058594,43.64201354980469,22.673199587211634,44.069813193001224,22.467651317825315,43.329657538525055,22.663254151966115,44.042650899728606,16311400,25593100
2012-02-10,22.524019241333008,43.42470932006836,22.524019241333008,43.58768043812015,22.351623218112568,43.20741622289133,22.388091510356947,43.54014773500881,10994600,10702500
2012-02-13,22.68978500366211,43.2481575012207,22.74282818680411,43.58768088315669,22.57374813990632,43.037656268246366,22.683153024920113,43.4654531909544,11091000,9295900
2012-02-14,22.842281341552734,43.13274383544922,22.852226777567637,43.4451025025165,22.577057910817555,42.976564501915576,22.69972419017024,43.13274383544922,12596000,12623200
2012-02-15,22.676525115966797,42.82716369628906,22.958323527033322,43.18705500102365,22.620165939625284,42.72530639591498,22.951694077199775,43.01050528275916,14776800,9099000
2012-02-16,22.82901954650879,42.59628677368164,22.87211727832648,42.9833403467539,22.68314640903651,42.59628677368164,22.746137541919186,42.915437210906994,11752000,11449400
2012-02-17,22.892013549804688,42.56232452392578,22.93179529820675,42.61664650090244,22.742824405221853,42.324661017769245,22.898642998085577,42.48762953903717,14841800,14646300
2012-02-21,22.815759658813477,42.87470245361328,22.892012221088798,43.044462917930936,22.709670786968392,42.75926658124005,22.835650531859987,42.81358858284536,13424800,6581800
2012-02-22,22.958316802978516,42.847537994384766,22.988153112529428,42.97655759856937,22.742823070797325,42.7796348482216,22.742823070797325,42.88828143628606,13766400,5506300
2012-02-23,22.935115814208984,42.86791229248047,22.974900099822467,42.94260730969712,22.848917793392534,42.66420025755991,22.90527696765915,42.90186386657738,11120000,19031400
