Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,IYR,XLF,IYR,XLF,IYR,XLF,IYR,XLF,IYR,XLF
Date,,,,,,,,,,
2012-01-03,36.913578033447266,8.469131469726562,37.65624197986847,8.551664181537644,36.66817566958949,8.424691180076067,37.28813966583588,8.431039792883281,9054000,103362023
2012-01-04,36.50025939941406,8.44373607635498,36.836072411488814,8.475479882166415,36.351727147372664,8.34850614955512,36.79732390349686,8.405643658444703,12839200,69833891
2012-01-05,36.76503372192383,8.558013916015625,36.83607141957583,8.60245420762046,36.20319392046025,8.329461608953036,36.38401535920546,8.367553287471464,6432700,89935260
2012-01-06,36.700469970703125,8.507222175598145,36.97170223694432,8.564359679335865,36.53256217049907,8.450084671860424,36.87483216271056,8.564359679335865,4222200,83878617
2012-01-09,36.597145080566406,8.551660537719727,36.83609063614066,8.589752943649339,36.50673431402853,8.49452304680079,36.76505290142986,8.538963317515519,4740100,69189586
2012-01-10,37.00397872924805,8.704031944274902,37.19125949456253,8.735775004005442,36.94585719737484,8.646892946125526,36.978146389858296,8.684985363119376,4974000,86035082
2012-01-11,37.33333206176758,8.805610656738281,37.38499427311522,8.811959268811286,36.86190298949915,8.634196640132705,36.90710834824357,8.66593970049773,3815400,80938989
2012-01-12,37.08793640136719,8.837353706359863,37.37854409051535,8.88814259859877,36.887739445841184,8.729425819717875,37.32042255268572,8.843701572572572,5969400,94107119
2012-01-13,37.25583267211914,8.773863792419434,37.26229198781747,8.78021165642307,36.7779467777423,8.621495678092852,36.913562845321636,8.65958733401605,5269500,95008949
2012-01-17,37.449588775634766,8.704031944274902,37.72727788198577,8.869097345508111,37.34626185174587,8.67228813922716,37.59812107475579,8.780215287628195,3982100,89019642
2012-01-18,37.68851852416992,8.837353706359863,37.817677749325156,8.85005092941959,37.39145403076802,8.64689237919534,37.48832160200396,8.684984793691676,4770600,118473902
